,Time.ms,Time.min,Session,Load,Short description,Activity,Social,Focus,Changing visual field a lot
1,80000,1m20s,2,3,"Explaining concept of fraction. Look for a manipulative in the table, and continue explaining",EXP,C,MD,T
2,155000,2m35s,2,3,"Explaining concept of fraction. Write on the whiteboard. Ask the class, 1 student hands up and responds",EXP,C,FAC,T
3,175000,2m55s,2,3,"Explaining concept of fraction. Look at the class, start explanation of comparison in whiteboard",EXP,C,W,T
4,230000,3m50s,2,3,"Finish explanation, starting task distribution. I look at my script. Pierre talks with the teacher",TDT,C,FAC,T
5,235000,3m55s,2,3,"Finish explanation, starting task distribution. I look at my script. Pierre talks with the teacher",TDT,C,FAC,T
6,375000,6m15s,2,3,"Finished explanation to a group, I start going around the class, not looking at one table but at all of them (students backs)",MON,C,BAK,T
7,430000,7m10s,2,3,Explaining game dynamic to a group. Looking at the tabletop but also at the faces of the students,EXP,G,TAB,F
8,435000,7m15s,2,3,Explaining game dynamic to a group. Looking at the tabletop but also at the faces of the students,EXP,G,TAB,F
9,560000,9m20s,2,3,"Finish explanation to one of the groups. Look around the class, Wen signals for next activity. I go to the manipulative desk and get next map",TDT,C,MD,T
10,640000,10m40s,2,3,"Finish explaining something to a group, go to the manipulative desk to get another element",TDT,C,TAB,T
11,995000,16m35s,2,3,Explanation to the whole class to pass to the next activity,TDT,C,FAC,T
12,1.00E+06,16m40s,2,3,Explanation to the whole class to pass to the next activity,TDT,C,FAC,T
13,1005000,16m45s,2,3,"Get into one of the groups to explain the next activity, get the previous paper pieces off the table",TDT,G,TAB,T
14,1020000,17m0s,2,3,"Get into one of the groups to explain the next activity. I notice something's wrong, maybe the map is not the right one, I look into the manipulative desk tryiing to find something, then go back to do the explanation",TDT,G,MD,T
15,1030000,17m10s,2,3,"Get into one of the groups to explain the next activity. I notice something's wrong, maybe the map is not the right one, I look into the manipulative desk tryiing to find something, then go back to do the explanation",TDT,G,MD,T
16,1200000,20m0s,2,3,"Finishing the explanation to one group, then go out and monitor the class, and ask Wen whether the map distribution is correct",MON,C,BAK,T
17,1205000,20m5s,2,3,"Finishing the explanation to one group, then go out and monitor the class, and ask Wen whether the map distribution is correct",MON,C,BAK,T
18,1650000,27m30s,2,3,"A group has finished, so I take the map and go to the desk. On the way, one of the groups calls for my attention, they also finished, so I look for a map for them too",TDT,G,MD,T
19,1655000,27m35s,2,3,"A group has finished, so I take the map and go to the desk. On the way, one of the groups calls for my attention, they also finished, so I look for a map for them too",TDT,G,MD,T
20,1695000,28m15s,2,3,"Waiting for one lamp to power off, I look at the map, and get it back to the central desk. I try to find something to do and start the lamp again",REP,G,MD,T
21,1705000,28m25s,2,3,"Waiting for one lamp to power off, I look at the map, and get it back to the central desk. I try to find something to do and start the lamp again",REP,G,MD,T
22,1730000,28m50s,2,3,"Waiting for the lamp to start, I ask one group whether they find it difficult, and I start improvising an explanation",REP,G,FAC,T
23,1735000,28m55s,2,3,"Waiting for the lamp to start, I ask one group whether they find it difficult, and I start improvising an explanation",REP,G,FAC,T
24,1970000,32m50s,2,3,"Waiting for the lamp to restart for some secons, and I start an explanation once it comes back",REP,G,TAB,F
25,1975000,32m55s,2,3,"Waiting for the lamp to restart for some secons, and I start an explanation once it comes back",REP,G,TAB,F
26,2135000,35m35s,2,3,"Waiting for a lamp to restart, I go around the class to see if there is anything else to do meanwhile",MON,C,BAK,T
27,2300000,38m20s,2,3,"The ladybug has disappeared, I go to find another map to give them",REP,G,MD,T
28,2495000,41m35s,2,3,"I find one group that does not know what to answer, so I ask them trying to see if they answer (look alternatively to the sheet and their faces)",REP,G,TAB,T
29,2540000,42m20s,2,3,"I look around the class, find the teacher looking at a form, explain to him what it is",EXP,NA,TEA,T
30,2545000,42m25s,2,3,"I look around the class, find the teacher looking at a form, explain to him what it is",EXP,NA,TEA,T
31,2570000,42m50s,2,3,"Looking around the class, trying to find out what to do next",MON,C,BAK,T
32,2580000,43m0s,2,3,"Looking around the class, trying to find out what to do next",MON,C,BAK,T
33,2685000,44m45s,2,3,"Looking around the class, trying to find out what to do next",MON,C,BAK,T
34,2730000,45m30s,2,3,"Looking around the class, preparing to go. I go out of the room",NA,NA,NA,T
35,2750000,45m50s,2,3,"Looking at the queued students, I answer one of their questions about what we're going to do",MON,C,FAC,T
36,2800000,46m40s,2,3,"Looking as Daniela explains the small game for doing at home, I complement with other explanation",EXP,C,FAC,T
1,20000,0m20s,3,3,"I finish putting on the recorer, and start looking around the classroom for the first explanation",NA,NA,NA,T
2,25000,0m25s,3,3,"I finish putting on the recorer, and start looking around the classroom for the first explanation",NA,NA,NA,T
3,30000,0m30s,3,3,"I finish putting on the recorer, and start looking around the classroom for the first explanation",NA,NA,NA,T
4,240000,4m0s,3,3,"I finish explaining to one group, looking up to student faces and Daniela, and then start looking around the classroom",EXP,G,TAB,T
5,250000,4m10s,3,3,"I finish explaining to one group, looking up to student faces and Daniela, and then start looking around the classroom",MON,C,BAK,T
6,355000,5m55s,3,3,"I go to one of the groups whole lamp has crashed, and I tell them to go use the spare one. I speak briefly with Wen, then reboot the lamp",REP,G,FAC,T
7,360000,6m0s,3,3,"I go to one of the groups whole lamp has crashed, and I tell them to go use the spare one. I speak briefly with Wen, then reboot the lamp",REP,G,TAB,T
8,365000,6m5s,3,3,"I go to one of the groups whole lamp has crashed, and I tell them to go use the spare one. I speak briefly with Wen, then reboot the lamp",REP,G,BAK,T
9,370000,6m10s,3,3,"I go to one of the groups whole lamp has crashed, and I tell them to go use the spare one. I speak briefly with Wen, then reboot the lamp",REP,G,RES,T
10,375000,6m15s,3,3,"I go to one of the groups whole lamp has crashed, and I tell them to go use the spare one. I speak briefly with Wen, then reboot the lamp",REP,G,TAB,F
11,440000,7m20s,3,3,"I have finish explaining to one group, and I go to put away some cards. I speak with Daniela about the bugs. I go to one unused lamp to power it, but one group calls for attention",REP,NA,RES,T
12,445000,7m25s,3,3,"I have finish explaining to one group, and I go to put away some cards. I speak with Daniela about the bugs. I go to one unused lamp to power it, but one group calls for attention",REP,NA,BAK,T
13,5.00E+05,8m20s,3,3,"I talk with Daniela that we have to go into the next phase. I start explaining the next phase, calling for attention of the class",TDT,C,RES,T
14,505000,8m25s,3,3,"I talk with Daniela that we have to go into the next phase. I start explaining the next phase, calling for attention of the class",TDT,C,BAK,T
15,815000,13m35s,3,3,"I am testing the spare lamp to see if it works, then I look around the room and go into one of the groups to see how it goes",REP,NA,TAB,T
16,880000,14m40s,3,3,"I stop looking at one of the groups, go to Wen and Daniela, who tell me that we have to change activity",TDT,C,RES,T
17,925000,15m25s,3,3,"After some clarification to a group, I look around the class, apparently undecided about what to do next",MON,C,BAK,T
18,1150000,19m10s,3,3,I'm clarifying the use of tokens to one of the groups,REP,G,TAB,F
19,1220000,20m20s,3,3,"I finish explaining to one group, then go around the class, looking around until the teacher desk, where I ask Daniela how are we doing on time",MON,C,BAK,T
20,1285000,21m25s,3,3,"I talk with Daniela about the progress of the activity and time constraints. Then, look around the class. Finally, choose a group and go ask them how it's going",NA,NA,RES,F
21,1290000,21m30s,3,3,"I talk with Daniela about the progress of the activity and time constraints. Then, look around the class. Finally, choose a group and go ask them how it's going",MON,C,BAK,T
22,1295000,21m35s,3,3,"I talk with Daniela about the progress of the activity and time constraints. Then, look around the class. Finally, choose a group and go ask them how it's going",MON,C,BAK,T
23,1375000,22m55s,3,3,"I finish explaining the next phase to some groups, then I look around the class, and go to one of the groups",MON,C,BAK,T
24,1430000,23m50s,3,3,I'm explaining the next phase to one of the groups,TDT,G,TAB,T
25,1435000,23m55s,3,3,I'm explaining the next phase to one of the groups,TDT,G,TAB,F
26,1605000,26m45s,3,3,"I go to one of the groups whose lamp has crashed, I take the map and go to take another one from the teacher desk, looking around the class as I do it",REP,G,NA,T
27,1770000,29m30s,3,3,"I finish checking one group, then look around the class, then go to Wen to ask about the time",MON,C,BAK,T
28,1820000,30m20s,3,3,I'm explaining the survey to one of the groups. I look around to the teacher desk for pens for them to use,TDT,G,FAC,T
29,1825000,30m25s,3,3,I'm explaining the survey to one of the groups. I look around to the teacher desk for pens for them to use,TDT,G,MD,T
30,2010000,33m30s,3,3,Looking around the classroom,MON,C,BAK,T
31,2015000,33m35s,3,3,Looking around the classroom,MON,C,BAK,T
32,2030000,33m50s,3,3,I go to one of the groups and power off the lamp,NA,G,NA,T
33,2035000,33m55s,3,3,I go to one of the groups and power off the lamp,NA,G,NA,T
34,2050000,34m10s,3,3,"I do a small explanation of how the lamp works, then go around the class to another group",NA,G,NA,T
35,2140000,35m40s,3,3,"I'm talking with Daniela, then cross the room looking around and making a remark to one group, towards the teacher desk",MON,C,BAK,T
36,2155000,35m55s,3,3,"I'm looking around the teacher desk, then look around the classroom",MON,C,MD,T
1,135000,2m15s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,FAC,T
2,140000,2m20s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,FAC,T
3,155000,2m35s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,FAC,T
4,160000,2m40s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,FAC,T
5,165000,2m45s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,W,T
6,180000,3m0s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,W,T
7,185000,3m5s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,W,T
8,190000,3m10s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,W,T
9,2.00E+05,3m20s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,W,T
10,205000,3m25s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,W,T
11,210000,3m30s,6,3,"I explain fractions to the whole class, looking alternatively to the board and the students",EXP,C,W,T
12,215000,3m35s,6,3,I explain that Daniela and Wen will distribute materials,EXP,C,W,T
13,3.00E+05,5m0s,6,3,I explain how the game goes to one of the gorups,EXP,G,TAB,F
14,450000,7m30s,6,3,I explain how the game goes to one of the gorups,EXP,G,TAB,F
15,460000,7m40s,6,3,I explain how the game goes to one of the gorups,EXP,G,TAB,F
16,465000,7m45s,6,3,I explain how the game goes to one of the gorups,EXP,G,TAB,F
17,580000,9m40s,6,3,"While explaining the game, I go to the teacher desk to find the second map to explain the goal of the game",TDT,G,MD,T
